statNm,statId,chgerId,chgerType,addr,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,s,l,output,method,zcode,zscode,kind,kindDetail,parkingFree,limitYn,delYn,statUpdDt,lastTsdt,FALSE,,
종묘 공영주차장,ME000001,1,3,서울특별시 종로구 종로 157,37.571076,126.99588,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02203E+13,2.0211E+13,50,단독,11,11110,B0,B001,Y,N,N,2022-03-16 14:43:10,2021-10-28 00:27:22,FALSE,,2022-03-16 14:43
세종로 공영주차장,ME000002,1,6,서울특별시 종로구 세종대로 189,37.573611,126.976011,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02108E+13,2.02108E+13,50,단독,11,11110,B0,B001,Y,N,N,2021-08-31 22:43:10,2021-08-26 02:38:34,,,
그랜드앰배서더 서울,ME000003,1,6,서울특별시 중구 동호로 287,37.559352,127.00235,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02109E+13,2.02109E+13,50,단독,11,11140,E0,E003,N,N,N,2021-09-10 10:33:10,2021-09-05 21:48:09,,,
한강진역 공영주차장,ME000004,1,3,서울특별시 용산구 한남동 산10-84,37.540085,127.002804,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02109E+13,2.02109E+13,50,단독,11,11170,B0,B001,Y,N,N,2021-09-10 09:53:10,2021-09-03 09:05:37,,,
마장동사무소 앞(공중전화부스),ME000006,1,6,서울특별시 성동구 마장동 808,37.5660935,127.0455256,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02208E+13,2.02208E+13,50,단독,11,11200,G0,G003,N,N,N,2022-08-23 16:38:10,2022-08-11 08:59:17,,,
청량리롯데백화점,ME000007,1,3,서울특별시 동대문구 왕산로 214,37.58065,127.047938,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.0211E+13,2.0211E+13,50,단독,11,11230,E0,E002,N,N,N,2021-10-25 11:33:10,2021-10-23 18:55:04,,,
이마트 이문점,ME000008,1,3,서울특별시 동대문구 이문로 136,37.598454,127.061848,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02108E+13,2.02107E+13,50,단독,11,11230,E0,E001,N,N,N,2021-08-03 11:08:10,2021-07-14 17:07:36,,,
홈플러스 월곡점,ME000011,1,3,서울특별시 성북구 화랑로 76,37.60208293,127.040024,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.0211E+13,2.0211E+13,50,단독,11,11290,E0,E001,N,N,N,2021-10-29 10:38:10,2021-10-26 17:07:44,,,
성북벤처빌딩 공영주차장,ME000012,1,6,서울특별시 성북구 장위2동 65-154,37.60936,127.053263,,ME,환경부,환경부,1661-9408,9,2.02208E+13,2.02208E+13,50,단독,11,11290,B0,B001,N,N,N,2022-08-11 12:48:10,2022-08-11 08:18:05,,,
롯데마트 삼양점,ME000013,1,3,서울특별시 강북구 삼양로 247,37.625405,127.017897,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02111E+13,,50,단독,11,11305,E0,E001,N,N,N,2021-11-23 18:53:10,#VALUE!,,,
